player_name,shots,goals,passes,total_minutes
fabián ariel orellana valenzuela,12,0.0,314.0,1396
fabricio coloccini,4,0.0,257.0,830
facundo sebastián roncaglia,1,0.0,40.0,133
fara williams,132,16.0,1447.0,5408
faustino marcos alberto rojo,1,0.0,211.0,586
fausto rossi,3,1.0,49.0,244
faye bryson,2,0.0,372.0,1202
fayçal fajr,8,0.0,150.0,609
federico fernández,4,0.0,418.0,1324
federico nicolás cartabia,6,0.0,43.0,219
federico piovaccari,2,0.0,18.0,108
federico santiago valverde dipetta,3,0.0,116.0,379
federico vico villegas,1,0.0,5.0,35
felicity gibbons,10,0.0,1383.0,4214
felipe augusto de almeida monteiro,2,0.0,33.0,138
felipe salvador caicedo corozo,3,0.0,99.0,610
fern whelan,5,0.0,257.0,834
fernando de napoli,1,0.0,48.0,149
fernando francisco reges,5,0.0,267.0,969
fernando josé torres sanz,8,1.0,65.0,477
fernando luiz rosa,8,1.0,465.0,1614
fernando morientes sánchez,1,0.0,28.0,128
fernando soriano marco,2,0.0,61.0,289
ferrán corominas telechea,1,0.0,26.0,194
filipe luís kasmirski,2,0.0,459.0,1477
filippo inzaghi,2,2.0,10.0,96
fiona brown,1,0.0,2.0,13
florence allen,1,0.0,176.0,576
florencia soledad jaimes,2,0.0,55.0,331
florian grégoire claude lejeune,2,0.0,36.0,140
florian thauvin,4,0.0,98.0,384
florin andone,6,0.0,34.0,268
francesc aday benítez caraballo,1,0.0,44.0,146
francesc fàbregas i soler,61,8.0,2996.0,9847
francesca kirby,65,7.0,481.0,2413
francis jeffers,2,0.0,8.0,43
francis joseph coquelin,4,0.0,445.0,1567
francisca alejandra lara lara,2,0.0,47.0,226
francisca ordega,3,0.0,58.0,366
francisco alcácer garcía,23,6.0,218.0,1126
francisco andrés silva gajardo,1,0.0,70.0,291
francisco josé beltrán peinado,3,0.0,81.0,263
francisco josé molinero calderón,1,0.0,23.0,89
francisco josé olivas alba,2,1.0,151.0,511
francisco manuel rico castro,3,1.0,129.0,472
francisco manuel vélez jiménez,1,0.0,14.0,64
francisco román alarcón suárez,10,0.0,493.0,1981
francisco salinas fernández,1,0.0,17.0,121
franck bilal ribéry,4,0.0,105.0,471
franck queudrue,1,0.0,53.0,152
franco damián vázquez,6,0.0,83.0,385
frank lampard,4,1.0,177.0,649
frankie brown,6,0.0,726.0,2920
franz beckenbauer,5,0.0,163.0,509
fredrik ljungberg,49,4.0,958.0,4199
