player_id,minutes_played_season,goals_total,assists_total,yellow_cards,red_cards,market_value_eur,player_name,date_of_birth,position,sub_position,age,transfer_fee_eur,season_year,competition_and_season,sb_matches_played,sb_goals,sb_assists,sb_shots,sb_xg,sb_passes,sb_pass_completed,sb_tackles,sb_interceptions,sb_dribbles_completed,sb_minutes_played,sb_pass_accuracy,bmi,season_days_injured,days_injured_prev_season,cumulative_days_injured,injury_days_per_game,injury_trend,severe_injury_this_season,injury_risk_score,fan_sentiment,media_sentiment
3495,3392,0,1,2,0,500000,Dudu Aouate,17-10-1977,Goalkeeper,Goalkeeper,35,0,2012,La Liga_2012/2013,1,0,0,0,0,29,14,0,0,0,92,0.482758621,25.21860695,0,0,0,0,0,0,0,0.260328244,-0.060753225
3507,551,0,0,0,0,500000,Christian Abbiati,08-07-1977,Goalkeeper,Goalkeeper,38,0,2015,Serie A_2015/2016,1,0,0,0,0,26,13,0,0,0,94,0.5,25.21860695,0,0,0,0,0,0,0,0.710896123,0.067132297
3525,2991,1,1,5,0,500000,Sylvain Armand,01-08-1980,Defender,Left-Back,35,0,2015,Ligue 1_2015/2016,34,1,1,14,2.410862464,1742,1435,57,56,14,94,0.823765786,25.21860695,0,0,0,0,0,0,0,0.373267466,0.263592275
3540,2073,0,0,2,0,1000000,John O'Shea,30-04-1981,Defender,Centre-Back,34,0,2015,Premier League_2015/2016,28,0,0,8,0.436195236,611,448,32,31,1,96,0.733224223,25.21860695,0,0,0,0,0,0,0,0.21294956,0.453485298
3547,3675,3,3,3,0,2000000,Darren Fletcher,01-02-1984,Midfield,Central Midfield,31,0,2015,Premier League_2015/2016,38,1,2,23,1.839551207,1516,1151,45,29,39,98,0.759234828,25.21860695,0,0,0,0,0,0,0,0.080660579,0.301933951
3548,903,0,1,4,0,1500000,Kieran Richardson,21-10-1984,Defender,Left-Back,31,0,2015,Premier League_2015/2016,11,0,2,7,0.154056552,347,260,19,9,8,95,0.749279539,25.21860695,0,0,0,0,0,0,0,0.561102592,0.039339254
3569,489,0,1,1,0,250000,Steed Malbranque,06-01-1980,Midfield,Central Midfield,35,0,2015,Ligue 1_2015/2016,11,0,1,5,0.397076624,279,227,12,2,1,93,0.813620072,25.21860695,0,0,0,0,0,0,0,0.433834389,0.238678946
3614,45,0,0,0,0,500000,Tony Hibbert,20-02-1981,Defender,Right-Back,34,0,2015,Premier League_2015/2016,1,0,0,1,0.060018376,19,16,0,3,0,88,0.842105263,25.21860695,0,0,0,0,0,0,0,-0.230567448,0.107345805
3620,259,0,1,0,0,1000000,Leon Osman,17-05-1981,Midfield,Central Midfield,34,0,2015,Premier League_2015/2016,9,0,0,3,0.246678815,152,124,2,2,1,95,0.815789474,25.21860695,0,0,0,0,0,0,0,0.287609344,0.296533631
3713,2829,13,4,4,0,500000,Massimo Maccarone,06-09-1979,Attack,Centre-Forward,36,0,2015,Serie A_2015/2016,37,13,5,82,9.149742061,648,439,23,5,16,94,0.677469136,25.21860695,0,0,0,0,0,0,0,0.174599895,0.103258915
3851,1046,1,0,2,0,2000000,Jan-Ingwer Callsen-Bracker,23-09-1984,Defender,Centre-Back,31,0,2015,1. Bundesliga_2015/2016,10,1,0,5,0.241297984,346,291,12,7,0,95,0.841040462,22.88818359,0,0,0,0,0,0,0,0.384234738,0.265898557
3875,2551,15,1,3,0,6000000,Jermain Defoe,07-10-1982,Attack,Centre-Forward,33,0,2015,Premier League_2015/2016,33,15,1,88,13.20987567,439,319,22,5,20,95,0.726651481,22.88818359,0,0,0,0,0,0,0,0.274316256,0.033252083
3878,2922,0,1,6,0,4000000,Michael Carrick,28-07-1981,Midfield,Defensive Midfield,34,0,2015,Premier League_2015/2016,27,0,0,7,0.305455375,1562,1353,43,37,7,95,0.866197183,20.9370756,0,0,0,0,0,0,0,0.3446197,-0.025634562
3881,2215,0,3,1,0,7000000,Glen Johnson,23-08-1984,Defender,Right-Back,31,0,2015,Premier League_2015/2016,25,0,3,18,1.032534323,1205,945,46,30,38,94,0.784232365,21.93776919,85,0,0,3.541666667,85,1,0.336440513,0.489252565,0.257742831
3950,284,0,0,0,0,2000000,Kevin Nolan,24-06-1982,Midfield,Attacking Midfield,33,0,2015,Premier League_2015/2016,2,0,0,0,0,14,13,0,0,1,91,0.928571429,22.05029153,0,0,0,0,0,0,0,-0.062814028,0.204196885
3995,1776,0,0,7,1,1000000,Gary O'Neil,18-05-1983,Midfield,Central Midfield,32,0,2015,Premier League_2015/2016,27,0,0,11,0.685513635,977,734,57,31,22,95,0.751279427,22.05029153,0,0,0,0,0,0,0,-0.203515159,-0.423752243
4018,3070,1,2,9,0,3000000,Daniel Baier,18-05-1984,Midfield,Defensive Midfield,31,0,2015,1. Bundesliga_2015/2016,28,1,2,18,0.690021308,1511,1123,49,42,10,95,0.743216413,22.05029153,0,0,0,0,0,0,0,-0.019084739,-0.254979361
4072,538,1,1,0,0,2000000,Peter Crouch,30-01-1981,Attack,Centre-Forward,34,0,2015,Premier League_2015/2016,11,0,1,9,0.582041097,156,91,4,2,1,95,0.583333333,25.46401086,0,0,0,0,0,0,0,-0.076776398,0.019133631
4192,298,0,1,0,0,1000000,Rafael van der Vaart,11-02-1983,Midfield,Attacking Midfield,32,0,2015,La Liga_2015/2016,7,0,0,6,0.339180408,109,74,3,3,0,93,0.678899083,25.46401086,0,0,0,0,0,0,0,0.426177777,0.348675779
4233,765,0,0,0,0,1000000,Adam Federici,31-01-1985,Goalkeeper,Goalkeeper,30,0,2015,Premier League_2015/2016,6,0,0,0,0,130,97,0,0,0,94,0.746153846,25.46401086,157,0,0,52.33333333,157,1,0.413873711,0.156557927,0.06687524
