player_name,season,matches_played,goals,assists,shots,xg,passes,pass_completed,tackles,interceptions,dribbles_completed,minutes_played,pass_accuracy
Ahmed Khalil,FIFA World Cup_2018,1,0,0,0,0.0,7,5,0,1,0,93,0.7142857142857143
Ahmed Mohamed Abo El Fotouh Mohamed,African Cup of Nations_2023,2,0,0,3,0.09230010699999999,65,51,1,0,1,49,0.7846153846153846
Ahmed Musa,FIFA World Cup_2018,3,2,0,4,0.7357582600000001,62,43,1,2,7,95,0.6935483870967742
Ahmed Sayed,African Cup of Nations_2023,3,0,0,10,0.4465701614,141,108,1,2,3,89,0.7659574468085106
Ahmet Metin Arslan,1. Bundesliga_2015/2016,1,0,0,0,0.0,1,1,0,0,0,92,1.0
Aibanbha Kupar Dohling,Indian Super league_2021/2022,16,1,2,12,0.9800337010000001,764,637,16,39,17,99,0.8337696335078534
Aihen Muñoz Capellán,La Liga_2018/2019,1,0,0,0,0.0,60,45,1,0,0,93,0.75
Aileen Whelan,FA Women's Super League_2018/2019,19,1,2,28,1.7319402808,472,288,36,26,29,95,0.6101694915254238
Aileen Whelan,FA Women's Super League_2019/2020,16,5,0,32,3.0854710825,397,256,52,19,34,95,0.6448362720403022
Aileen Whelan,FA Women's Super League_2020/2021,22,4,0,31,3.8441616200000004,642,410,58,37,20,96,0.6386292834890965
Aimee Palmer,FA Women's Super League_2020/2021,15,0,0,7,0.10079762049999999,303,191,17,32,8,94,0.6303630363036303
Aimen Moueffek,Ligue 1_2021/2022,1,0,0,0,0.0,15,14,1,0,0,92,0.9333333333333333
"Aine O""Gorman",Women's World Cup_2023,1,0,0,0,0.0,27,16,1,0,0,57,0.5925925925925926
Ainon Phancha,Women's World Cup_2019,3,0,0,0,0.0,71,36,11,3,1,94,0.5070422535211268
Airam López Cabrera,Indian Super league_2021/2022,13,6,2,25,5.4637826590000005,238,180,1,1,2,95,0.7563025210084033
Aishi Manula,African Cup of Nations_2023,3,0,0,0,0.0,103,79,0,0,0,96,0.7669902912621359
Aitana Bonmati Conca,UEFA Women's Euro_2022,4,1,0,11,0.6916852889999999,309,272,3,1,11,120,0.8802588996763754
Aitana Bonmati Conca,UEFA Women's Euro_2025,6,1,1,17,1.745347916,346,298,8,2,3,124,0.861271676300578
Aitana Bonmati Conca,Women's World Cup_2019,2,0,0,1,0.039158132,41,35,3,2,1,94,0.8536585365853658
Aitana Bonmati Conca,Women's World Cup_2023,7,3,1,19,1.7486510280000003,392,333,13,2,14,103,0.8494897959183674
Aitor Buñuel Redrado,La Liga_2016/2017,1,0,0,0,0.0,27,19,2,0,0,89,0.7037037037037037
