p_id2,start_year,age,bmi,season_days_injured,season_days_injured_prev_season,cumulative_days_injured,injury_days_per_game,injury_trend,severe_season_injury,injury_risk_score
andriyyarmolenko,2020,31,22.91344446353898,53,82.0,838.0,3.3125,-29.0,0,0.26599610479114194
androstownsend,2019,28,23.35390946502057,65,0.0,0.0,2.6,65.0,1,0.31493129108074214
andycarroll,2016,27,21.35590471241617,285,0.0,0.0,15.0,285.0,1,0.5515327290120401
andycarroll,2017,28,21.35590471241617,99,285.0,949.0,5.823529411764706,-186.0,1,0.224502561122689
andycarroll,2018,29,21.35590471241617,337,99.0,1898.0,25.923076923076923,238.0,1,0.5638101549830348
andycarroll,2019,30,21.35590471241617,190,337.0,2847.0,9.5,-147.0,1,0.29978408211857105
andycarroll,2020,31,21.35590471241617,38,190.0,3796.0,2.111111111111111,-152.0,0,0.20254409864431386
angelgomes,2018,18,21.548631242424307,10,0.0,0.0,3.3333333333333335,10.0,0,0.25578093159791765
angeloogbonna,2016,28,23.573915188728375,200,0.0,0.0,9.523809523809524,200.0,1,0.4601185370840386
angeloogbonna,2019,31,23.573915188728375,11,200.0,281.0,0.34375,-189.0,0,0.16795033871100976
angeloogbonna,2020,32,23.573915188728375,70,11.0,562.0,2.413793103448276,59.0,1,0.31609383145785463
anthonyknockaert,2020,29,23.323418063818284,20,0.0,0.0,20.0,20.0,0,0.26653554241297667
anthonymartial,2016,21,22.5951344351038,7,0.0,0.0,0.2692307692307692,7.0,0,0.25255454835339997
anthonymartial,2017,22,22.5951344351038,14,7.0,285.0,0.45161290322580644,7.0,0,0.2573032480122404
anthonymartial,2018,23,22.5951344351038,55,14.0,570.0,1.9642857142857142,41.0,0,0.29861762444228146
anthonymartial,2019,24,22.5951344351038,74,55.0,855.0,2.242424242424242,19.0,1,0.30103615842452575
anthonymartial,2020,25,22.5951344351038,135,74.0,1140.0,5.869565217391305,61.0,1,0.35848245107715526
antoneerobinson,2020,23,20.227025721531216,10,0.0,0.0,0.3448275862068966,10.0,0,0.25578093159791765
anwarelghazi,2019,24,24.86865802562452,14,0.0,0.0,0.4,14.0,0,0.26008277592394125
arongunnarsson,2018,29,24.276503014226535,79,0.0,0.0,2.7241379310344827,79.0,1,0.32998774622182475
arthurmasuaku,2016,23,21.84700852033332,160,0.0,0.0,11.428571428571429,160.0,1,0.4171000938238026
arthurmasuaku,2018,25,21.84700852033332,40,160.0,321.0,1.6666666666666667,-120.0,0,0.2170632193499563
arthurmasuaku,2019,26,21.84700852033332,24,40.0,642.0,1.3333333333333333,-16.0,0,0.2536277828074079
arthurmasuaku,2020,27,21.84700852033332,97,24.0,963.0,7.461538461538462,73.0,1,0.3396635560141309
arturboruc,2016,36,23.40107564408888,13,0.0,0.0,0.3611111111111111,13.0,0,0.2590073148424354
ashleybarnes,2016,27,23.17223571125756,96,0.0,0.0,3.310344827586207,96.0,1,0.348270584607425
ashleybarnes,2017,28,23.17223571125756,64,96.0,468.0,1.7297297297297298,-32.0,1,0.27119510940150543
ashleybarnes,2019,30,23.17223571125756,299,64.0,936.0,14.95,235.0,1,0.5386256673046422
ashleybarnes,2020,31,23.17223571125756,9,299.0,1404.0,0.391304347826087,-290.0,0,0.12215259912681925
ashleywestwood,2019,29,23.61564967870533,24,0.0,0.0,0.6666666666666666,24.0,0,0.27083738673900026
ashleywestwood,2019,29,23.61564967870533,24,24.0,36.0,0.6666666666666666,0.0,0,0.26043157411253776
ashleywestwood,2020,30,23.61564967870533,12,24.0,72.0,0.3076923076923077,-12.0,0,0.2478748393230635
ashleywestwood,2020,30,23.61564967870533,12,12.0,108.0,0.3076923076923077,0.0,0,0.25360094291918944
ashleyyoung,2016,31,21.22448979591837,118,0.0,0.0,9.076923076923077,118.0,1,0.37193072840055474
ashleyyoung,2018,33,21.22448979591837,7,118.0,125.0,0.22580645161290322,-111.0,0,0.20003335373805894
asmirbegovic,2018,31,21.64405319851009,13,0.0,0.0,0.52,13.0,0,0.2590073148424354
axeltuanzebe,2019,22,21.38787436084733,113,0.0,0.0,18.833333333333332,113.0,1,0.3665534229930253
axeltuanzebe,2020,23,21.38787436084733,123,113.0,333.0,13.666666666666666,10.0,1,0.32702915493323087
aymericlaporte,2018,24,23.79552644102909,14,0.0,0.0,0.3888888888888889,14.0,0,0.26008277592394125
aymericlaporte,2019,25,23.79552644102909,281,14.0,358.0,17.5625,267.0,1,0.5413148501666276
